#{"t_start": 1760023516.2241907, "env_id": "None"}
r,l,t
-1.433106,25,106.072372
29.423677,96,106.627595
50.409363,132,107.359314
1.791367,33,107.666856
8.847434,52,108.037024
10.095406,48,108.361588
10.672597,61,108.712095
14.975351,76,109.123902
6.314457,61,109.325725
24.694773,81,109.750243
16.324602,76,110.191726
26.136657,100,110.684303
3.006249,34,110.974685
43.484606,103,111.933646
3.482926,40,112.228984
21.607945,77,112.651695
7.5157,58,112.852155
6.297615,55,113.041114
9.027886,54,113.221159
4.840729,40,113.537661
19.36219,84,114.255212
-2.289213,18,114.525371
12.030332,62,114.987787
26.944668,87,115.555959
11.471248,60,115.974441
8.480718,52,116.335818
16.450954,74,116.82364
1.612215,35,117.17486
2.650019,43,117.372445
34.990484,105,117.906564
30.117603,100,118.410596
14.400002,70,118.821991
50.620685,138,119.439467
29.202554,110,119.997998
4.443822,49,120.369879
0.081309,26,120.616742
7.502569,59,121.024983
30.077436,112,121.813107
-1.347726,21,121.930313
0.187309,33,122.277403
14.913047,63,122.764364
2.261932,37,123.151643
7.142564,53,123.561321
2.027077,30,123.705849
19.407019,76,124.22809
8.025765,44,124.488015
30.084892,101,125.187685
-3.812249,13,125.423533
2.94706,35,125.754204
5.705297,43,126.111857
9.595812,58,126.558671
20.5805,77,127.166382
57.533385,181,127.837478
3.673204,34,128.10672
10.477944,54,128.432329
5.405432,45,128.745164
23.902794,89,129.211638
-2.356245,19,129.446396
16.280845,64,129.843003
37.941312,96,130.167225
0.756416,30,130.43897
2.770037,40,130.75845
24.995692,97,131.271735
10.600295,57,131.643862
1.034847,34,131.766495
6.659078,50,131.951423
3.249827,37,132.236492
23.256651,88,132.705316
-2.818393,18,132.983752
6.902242,57,133.350262
14.965018,70,133.591817
13.633411,66,134.107288
2.213171,42,134.295559
16.401131,70,134.70308
-3.26756,16,134.770321
-2.7247,21,135.008534
3.146396,39,135.330426
4.462167,44,135.650363
12.606708,64,136.076439
-2.912153,15,136.367402
24.897425,74,136.805577
14.213821,57,137.02974
-2.571549,20,137.127525
-2.505684,20,137.211444
27.248884,102,138.107958
32.285324,101,138.828617
-1.794711,21,139.119478
5.655236,51,139.522697
23.250597,87,140.05056
-3.864263,11,140.120152
3.269181,42,140.488559
22.04192,67,140.751327
13.125294,60,141.151542
24.970371,84,141.666136
21.328341,89,142.082471
-1.855613,23,142.176193
8.374737,52,142.548307
-1.705932,22,142.646435
-2.750852,16,142.912647
1.340907,31,143.239997
6.924877,48,143.9514
2.570787,39,144.250429
14.460461,72,144.480622
12.370408,66,144.895134
10.597506,72,145.150398
8.483611,53,145.484181
5.817943,47,145.643878
9.750512,58,146.014352
22.101875,73,146.25704
11.83074,54,146.742716
29.443049,124,147.315764
-0.569418,25,147.432141
25.098861,84,147.909773
6.013432,52,148.098644
-2.783435,18,148.977696
-0.969022,23,149.077979
8.812299,49,149.493585
-3.429909,16,149.56698
48.89312,128,150.033972
5.480581,41,150.187655
9.040088,46,150.535121
14.170804,70,150.981683
-3.373947,15,151.050283
17.443381,63,151.262716
11.945693,69,151.478239
-1.418661,25,151.749082
11.653412,69,152.162244
37.251554,101,152.674258
-2.315513,17,152.948971
18.974839,66,153.337827
4.131285,50,153.501054
2.068377,34,153.62173
-3.237813,18,153.872181
36.343348,109,154.408545
27.303099,84,154.883788
1.697978,36,155.209093
1.736518,32,155.325748
4.120047,43,155.649554
0.737557,30,155.935595
58.982451,143,156.581833
0.909417,30,156.956976
2.81682,37,157.136719
5.961943,55,157.507932
-4.03314,11,157.775071
-3.562526,14,158.002441
0.006922,31,158.283479
1.573225,34,158.576322
37.386844,107,159.112154
-2.712243,17,159.371902
27.886711,84,159.881008
25.970052,91,160.397204
5.780315,45,160.541459
1.782552,40,160.679266
-1.871031,21,160.938486
9.652842,56,161.141407
10.590252,74,161.390051
-2.115093,19,161.649343
6.654411,49,161.974645
-1.604763,23,162.221717
9.233444,57,162.620451
9.62549,58,162.99282
2.563338,33,163.256074
2.805157,43,163.721303
5.333637,50,164.398771
